,urls
149,https://www.pagina12.com.ar/diario/deportes/8-159824-2011-01-04.html
150,https://www.pagina12.com.ar/diario/deportes/8-159825-2011-01-04.html
151,https://www.pagina12.com.ar/diario/deportes/8-159826-2011-01-04.html
152,https://www.pagina12.com.ar/diario/deportes/8-159827-2011-01-04.html
153,https://www.pagina12.com.ar/diario/deportes/8-159828-2011-01-04.html
154,https://www.pagina12.com.ar/diario/deportes/8-159829-2011-01-04.html
155,https://www.pagina12.com.ar/diario/deportes/8-159830-2011-01-04.html
156,https://www.pagina12.com.ar/diario/psicologia/9-159531-2011-01-04.html
157,https://www.pagina12.com.ar/diario/psicologia/9-159532-2011-01-04.html
158,https://www.pagina12.com.ar/diario/verano12/23-159833-2011-01-04.html
159,https://www.pagina12.com.ar/diario/contratapa/13-159831-2011-01-04.html
160,https://www.pagina12.com.ar/diario/pirulo/30-159832-2011-01-04.html
161,https://www.pagina12.com.ar/diario/elpais/1-159886-2011-01-05.html
162,https://www.pagina12.com.ar/diario/elpais/1-159875-2011-01-05.html
163,https://www.pagina12.com.ar/diario/elpais/1-159876-2011-01-05.html
164,https://www.pagina12.com.ar/diario/elpais/1-159877-2011-01-05.html
165,https://www.pagina12.com.ar/diario/elpais/1-159871-2011-01-05.html
166,https://www.pagina12.com.ar/diario/elpais/1-159874-2011-01-05.html
167,https://www.pagina12.com.ar/diario/elpais/1-159867-2011-01-05.html
168,https://www.pagina12.com.ar/diario/elpais/1-159880-2011-01-05.html
169,https://www.pagina12.com.ar/diario/elpais/1-159878-2011-01-05.html
170,https://www.pagina12.com.ar/diario/elpais/1-159887-2011-01-05.html
171,https://www.pagina12.com.ar/diario/elpais/1-159888-2011-01-05.html
172,https://www.pagina12.com.ar/diario/economia/2-159868-2011-01-05.html
173,https://www.pagina12.com.ar/diario/economia/2-159869-2011-01-05.html
174,https://www.pagina12.com.ar/diario/economia/2-159870-2011-01-05.html
175,https://www.pagina12.com.ar/diario/economia/2-159872-2011-01-05.html
176,https://www.pagina12.com.ar/diario/economia/2-159873-2011-01-05.html
177,https://www.pagina12.com.ar/diario/sociedad/3-159851-2011-01-05.html
178,https://www.pagina12.com.ar/diario/sociedad/3-159852-2011-01-05.html
179,https://www.pagina12.com.ar/diario/sociedad/3-159882-2011-01-05.html
180,https://www.pagina12.com.ar/diario/sociedad/3-159883-2011-01-05.html
181,https://www.pagina12.com.ar/diario/sociedad/3-159884-2011-01-05.html
182,https://www.pagina12.com.ar/diario/sociedad/3-159885-2011-01-05.html
183,https://www.pagina12.com.ar/diario/cdigital/31-159800-2011-01-05.html
184,https://www.pagina12.com.ar/diario/cdigital/31-159801-2011-01-05.html
185,https://www.pagina12.com.ar/diario/suplementos/espectaculos/8-20413-2011-01-05.html
186,https://www.pagina12.com.ar/diario/suplementos/espectaculos/7-20410-2011-01-05.html
187,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20401-2011-01-05.html
188,https://www.pagina12.com.ar/diario/suplementos/espectaculos/4-20406-2011-01-05.html
189,https://www.pagina12.com.ar/diario/suplementos/espectaculos/17-20402-2011-01-05.html
190,https://www.pagina12.com.ar/diario/suplementos/espectaculos/7-20411-2011-01-05.html
191,https://www.pagina12.com.ar/diario/suplementos/espectaculos/7-20407-2011-01-05.html
192,https://www.pagina12.com.ar/diario/suplementos/espectaculos/7-20408-2011-01-05.html
193,https://www.pagina12.com.ar/diario/suplementos/espectaculos/7-20409-2011-01-05.html
194,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20403-2011-01-05.html
195,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20404-2011-01-05.html
196,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20405-2011-01-05.html
197,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20414-2011-01-05.html
198,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-20412-2011-01-05.html
199,https://www.pagina12.com.ar/diario/laventana/26-159881-2011-01-05.html
200,https://www.pagina12.com.ar/diario/laventana/26-159879-2011-01-05.html
201,https://www.pagina12.com.ar/diario/elmundo/4-159864-2011-01-05.html
202,https://www.pagina12.com.ar/diario/elmundo/4-159865-2011-01-05.html
203,https://www.pagina12.com.ar/diario/elmundo/4-159866-2011-01-05.html
204,https://www.pagina12.com.ar/diario/elmundo/4-159857-2011-01-05.html
205,https://www.pagina12.com.ar/diario/elmundo/4-159855-2011-01-05.html
206,https://www.pagina12.com.ar/diario/elmundo/4-159856-2011-01-05.html
207,https://www.pagina12.com.ar/diario/deportes/8-159854-2011-01-05.html
208,https://www.pagina12.com.ar/diario/deportes/8-159860-2011-01-05.html
209,https://www.pagina12.com.ar/diario/deportes/8-159861-2011-01-05.html
210,https://www.pagina12.com.ar/diario/deportes/8-159863-2011-01-05.html
211,https://www.pagina12.com.ar/diario/psicologia/9-159531-2011-01-05.html
212,https://www.pagina12.com.ar/diario/psicologia/9-159532-2011-01-05.html
213,https://www.pagina12.com.ar/diario/ciencia/19-159862-2011-01-05.html
214,https://www.pagina12.com.ar/diario/verano12/23-159859-2011-01-05.html
215,https://www.pagina12.com.ar/diario/contratapa/13-159858-2011-01-05.html
216,https://www.pagina12.com.ar/diario/pirulo/30-159889-2011-01-05.html
217,https://www.pagina12.com.ar/diario/elpais/1-159944-2011-01-06.html
218,https://www.pagina12.com.ar/diario/elpais/1-159949-2011-01-06.html
219,https://www.pagina12.com.ar/diario/elpais/1-159951-2011-01-06.html
220,https://www.pagina12.com.ar/diario/elpais/1-159952-2011-01-06.html
221,https://www.pagina12.com.ar/diario/elpais/1-159946-2011-01-06.html
222,https://www.pagina12.com.ar/diario/elpais/1-159947-2011-01-06.html
223,https://www.pagina12.com.ar/diario/elpais/1-159931-2011-01-06.html
224,https://www.pagina12.com.ar/diario/elpais/1-159943-2011-01-06.html
225,https://www.pagina12.com.ar/diario/elpais/1-159945-2011-01-06.html
226,https://www.pagina12.com.ar/diario/elpais/1-159936-2011-01-06.html
227,https://www.pagina12.com.ar/diario/elpais/1-159935-2011-01-06.html
228,https://www.pagina12.com.ar/diario/elpais/1-159940-2011-01-06.html
229,https://www.pagina12.com.ar/diario/economia/2-159937-2011-01-06.html
230,https://www.pagina12.com.ar/diario/economia/2-159938-2011-01-06.html
231,https://www.pagina12.com.ar/diario/economia/2-159939-2011-01-06.html
232,https://www.pagina12.com.ar/diario/economia/2-159926-2011-01-06.html
233,https://www.pagina12.com.ar/diario/economia/2-159927-2011-01-06.html
234,https://www.pagina12.com.ar/diario/economia/2-159928-2011-01-06.html
235,https://www.pagina12.com.ar/diario/economia/2-159929-2011-01-06.html
236,https://www.pagina12.com.ar/diario/economia/2-159930-2011-01-06.html
237,https://www.pagina12.com.ar/diario/sociedad/3-159932-2011-01-06.html
238,https://www.pagina12.com.ar/diario/sociedad/3-159933-2011-01-06.html
239,https://www.pagina12.com.ar/diario/sociedad/3-159948-2011-01-06.html
240,https://www.pagina12.com.ar/diario/sociedad/3-159950-2011-01-06.html
241,https://www.pagina12.com.ar/diario/sociedad/3-159941-2011-01-06.html
242,https://www.pagina12.com.ar/diario/sociedad/3-159942-2011-01-06.html
243,https://www.pagina12.com.ar/diario/sociedad/3-159934-2011-01-06.html
244,https://www.pagina12.com.ar/diario/cdigital/31-159800-2011-01-06.html
245,https://www.pagina12.com.ar/diario/cdigital/31-159801-2011-01-06.html
246,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-20416-2011-01-06.html
247,https://www.pagina12.com.ar/diario/suplementos/espectaculos/17-20415-2011-01-06.html
248,https://www.pagina12.com.ar/diario/suplementos/espectaculos/3-20422-2011-01-06.html
249,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20418-2011-01-06.html
250,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20419-2011-01-06.html
251,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20420-2011-01-06.html
252,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20421-2011-01-06.html
253,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-20417-2011-01-06.html
254,https://www.pagina12.com.ar/diario/laventana/26-159881-2011-01-06.html
255,https://www.pagina12.com.ar/diario/laventana/26-159879-2011-01-06.html
256,https://www.pagina12.com.ar/diario/elmundo/4-159922-2011-01-06.html
257,https://www.pagina12.com.ar/diario/elmundo/4-159923-2011-01-06.html
258,https://www.pagina12.com.ar/diario/elmundo/4-159924-2011-01-06.html
259,https://www.pagina12.com.ar/diario/elmundo/4-159925-2011-01-06.html
